ROI_ID,ROI_Name,Mean_ROI_Signal,Sum_ROI_Signal,Abs_Mean_ROI_Signal
31,Right Amygdala,-4.496918954951241,-1681.847689151764,4.496918954951241
32,Left Amygdala,-2.8899795010884604,-1083.7423129081726,2.8899795010884604
116,Right Ent entorhinal area,-2.4435025500105665,-1627.3726983070374,2.4435025500105665
117,Left Ent entorhinal area,-1.4387855868900117,-991.323269367218,1.4387855868900117
48,Left Hippocampus,-0.995331093701832,-1352.6549563407898,0.995331093701832
47,Right Hippocampus,-0.9298555368254589,-1354.7995171546936,0.9298555368254589
171,Left PHG parahippocampal gyrus,-0.44849845884629,-534.1616644859314,0.44849845884629
170,Right PHG parahippocampal gyrus,-0.12060767107231672,-129.65324640274048,0.12060767107231672
100,Right ACgG anterior cingulate gyrus,0.08553815209463742,152.2579107284546,0.08553815209463742
202,Right TMP temporal pole,-0.07131596787335122,-255.0972170829773,0.07131596787335122
207,Left TTG transverse temporal gyrus,0.05069925728634264,34.27269792556763,0.05069925728634264
35,Brain Stem,0.0481407235358782,333.32636976242065,0.0481407235358782
151,Left MPrG precentral gyrus medial segment,0.038206612480671386,47.64364576339722,0.038206612480671386
193,Left SMC supplementary motor cortex,0.036970942039189374,89.21088314056396,0.036970942039189374
187,Left SCA subcallosal area,0.0365386752725391,17.57510280609131,0.0365386752725391
59,Right Thalamus Proper,-0.03382889466939563,-101.14839506149292,0.03382889466939563
60,Left Thalamus Proper,-0.028419677969535873,-89.4367265701294,0.028419677969535873
186,Right SCA subcallosal area,0.027002998234070454,13.09645414352417,0.027002998234070454
198,Right SPL superior parietal lobule,0.01983257892541055,104.10120677947998,0.01983257892541055
195,Left SMG supramarginal gyrus,-0.011575521853823574,-46.371540546417236,0.011575521853823574
167,Left PCgG posterior cingulate gyrus,-0.011398734345230322,-21.395424365997314,0.011398734345230322
143,Left MFG middle frontal gyrus,-0.009714556172688802,-91.07396411895752,0.009714556172688802
181,Left PP planum polare,0.00964592071823684,8.613807201385498,0.00964592071823684
153,Left MSFG superior frontal gyrus medial segment,0.008506170982834177,25.501500606536865,0.008506170982834177
58,Left Putamen,-0.007766090514342909,-13.435336589813232,0.007766090514342909
146,Right MOrG medial orbital gyrus,0.007762492071169939,13.824998378753662,0.007762492071169939
155,Left MTG middle temporal gyrus,-0.007719738440296461,-49.49896287918091,0.007719738440296461
203,Left TMP temporal pole,-0.0061052264393986885,-21.68576431274414,0.0061052264393986885
137,Left LOrG lateral orbital gyrus,0.0048557231300755555,4.1516432762146,0.0048557231300755555
177,Left PoG postcentral gyrus,0.004813311770530895,26.117029666900635,0.004813311770530895
201,Left STG superior temporal gyrus,-0.0030610486487607945,-9.063765048980713,0.0030610486487607945
121,Left FRP frontal pole,0.002985842127674236,4.189136505126953,0.002985842127674236
168,Right PCu precuneus,0.0027500317176653317,13.942660808563232,0.0027500317176653317
106,Right AnG angular gyrus,-0.0026795993143609916,-12.67450475692749,0.0026795993143609916
132,Right ITG inferior temporal gyrus,-0.002625928751066769,-13.098132610321045,0.002625928751066769
161,Left OFuG occipital fusiform gyrus,-0.0025656160593761947,-4.194782257080078,0.0025656160593761947
166,Right PCgG posterior cingulate gyrus,-0.0025341496305558288,-4.176278591156006,0.0025341496305558288
190,Right SFG superior frontal gyrus,0.0025283198126584546,17.346802234649658,0.0025283198126584546
102,Right AIns anterior insula,-0.0024602525816189024,-4.374329090118408,0.0024602525816189024
152,Right MSFG superior frontal gyrus medial segment,0.0023926411667621254,8.505839347839355,0.0023926411667621254
112,Right CO central operculum,0.0023567676544189453,4.180905818939209,0.0023567676544189453
138,Right MCgG middle cingulate gyrus,0.002066719468326578,4.255375385284424,0.002066719468326578
139,Left MCgG middle cingulate gyrus,0.002025766775641643,4.314883232116699,0.002025766775641643
192,Right SMC supplementary motor cortex,0.001888839482338991,4.395329475402832,0.001888839482338991
145,Left MOG middle occipital gyrus,-0.0015754627975228586,-4.189155578613281,0.0015754627975228586
123,Left FuG fusiform gyrus,-0.0013748971319912573,-4.315802097320557,0.0013748971319912573
183,Left PrG precentral gyrus,-0.0007375852178365136,-4.433624744415283,0.0007375852178365136
37,Left Caudate,0.0,0.0,0.0
76,Right Basal Forebrain,0.0,0.0,0.0
101,Left ACgG anterior cingulate gyrus,0.0,0.0,0.0
57,Right Putamen,0.0,0.0,0.0
136,Right LOrG lateral orbital gyrus,0.0,0.0,0.0
133,Left ITG inferior temporal gyrus,0.0,0.0,0.0
134,Right LiG lingual gyrus,0.0,0.0,0.0
135,Left LiG lingual gyrus,0.0,0.0,0.0
124,Right GRe gyrus rectus,0.0,0.0,0.0
125,Left GRe gyrus rectus,0.0,0.0,0.0
128,Right IOG inferior occipital gyrus,0.0,0.0,0.0
129,Left IOG inferior occipital gyrus,0.0,0.0,0.0
122,Right FuG fusiform gyrus,0.0,0.0,0.0
120,Right FRP frontal pole,0.0,0.0,0.0
107,Left AnG angular gyrus,0.0,0.0,0.0
113,Left CO central operculum,0.0,0.0,0.0
115,Left Cun cuneus,0.0,0.0,0.0
114,Right Cun cuneus,0.0,0.0,0.0
118,Right FO frontal operculum,0.0,0.0,0.0
119,Left FO frontal operculum,0.0,0.0,0.0
103,Left AIns anterior insula,0.0,0.0,0.0
104,Right AOrG anterior orbital gyrus,0.0,0.0,0.0
105,Left AOrG anterior orbital gyrus,0.0,0.0,0.0
109,Left Calc calcarine cortex,0.0,0.0,0.0
108,Right Calc calcarine cortex,0.0,0.0,0.0
75,Left Basal Forebrain,0.0,0.0,0.0
30,Left Accumbens Area,0.0,0.0,0.0
23,Right Accumbens Area,0.0,0.0,0.0
56,Left Pallidum,0.0,0.0,0.0
55,Right Pallidum,0.0,0.0,0.0
36,Right Caudate,0.0,0.0,0.0
148,Right MPoG postcentral gyrus medial segment,0.0,0.0,0.0
154,Right MTG middle temporal gyrus,0.0,0.0,0.0
144,Right MOG middle occipital gyrus,0.0,0.0,0.0
147,Left MOrG medial orbital gyrus,0.0,0.0,0.0
140,Right MFC medial frontal cortex,0.0,0.0,0.0
173,Left PIns posterior insula,0.0,0.0,0.0
172,Right PIns posterior insula,0.0,0.0,0.0
169,Left PCu precuneus,0.0,0.0,0.0
160,Right OFuG occipital fusiform gyrus,0.0,0.0,0.0
162,Right OpIFG opercular part of the inferior frontal gyrus,0.0,0.0,0.0
163,Left OpIFG opercular part of the inferior frontal gyrus,0.0,0.0,0.0
164,Right OrIFG orbital part of the inferior frontal gyrus,0.0,0.0,0.0
165,Left OrIFG orbital part of the inferior frontal gyrus,0.0,0.0,0.0
156,Right OCP occipital pole,0.0,0.0,0.0
157,Left OCP occipital pole,0.0,0.0,0.0
141,Left MFC medial frontal cortex,0.0,0.0,0.0
142,Right MFG middle frontal gyrus,0.0,0.0,0.0
150,Right MPrG precentral gyrus medial segment,0.0,0.0,0.0
149,Left MPoG postcentral gyrus medial segment,0.0,0.0,0.0
175,Left PO parietal operculum,0.0,0.0,0.0
174,Right PO parietal operculum,0.0,0.0,0.0
191,Left SFG superior frontal gyrus,0.0,0.0,0.0
182,Right PrG precentral gyrus,0.0,0.0,0.0
184,Right PT planum temporale,0.0,0.0,0.0
185,Left PT planum temporale,0.0,0.0,0.0
176,Right PoG postcentral gyrus,0.0,0.0,0.0
178,Right POrG posterior orbital gyrus,0.0,0.0,0.0
179,Left POrG posterior orbital gyrus,0.0,0.0,0.0
180,Right PP planum polare,0.0,0.0,0.0
199,Left SPL superior parietal lobule,0.0,0.0,0.0
197,Left SOG superior occipital gyrus,0.0,0.0,0.0
196,Right SOG superior occipital gyrus,0.0,0.0,0.0
